ID     | BKZ     | berufskundliche Gruppe  | Berufsbezeichnung
448    | 11113902 | A Techniker             | Techniker/in - Agrartechnik
7474   | 11183901 | A Sonst. kaufm. WB      | Fachkraft - EDV-gestützte Unternehmensführung
34990  | 11183908 | A Fachagrarwirte        | Fachagrarwirt/in - Erneuerbare Energien/Biomasse
273    | 11193900 | A Sonst. Meister        | Landwirtschaftsmeister/in
411    | 11193901 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Agrarbetrieb
412    | 11193902 | A Wirtschafter          | Wirtschafter/in - Landwirtschaft
90071  | 11193915 | A Sonst. Meister        | Agrarservicemeister/in
130913 | 11193916 | A Sonst. Meister        | Pflanzentechnologiemeister/in
34992  | 11213904 | A Fachagrarwirte        | Fachagrarwirt/in - Klauenpflege
93272  | 11213905 | A Sonst. WB             | Klauenpfleger/in
312    | 11293900 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Rinderhaltung
318    | 11293901 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Schäferei
329    | 11293902 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Geflügelhaltung
360    | 11293904 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Schweinehaltung
368    | 11293905 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Imkerei
14002  | 11333901 | A Sonst. WB             | Hufbeschlagschmied/in
128444 | 11393910 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Pferdehaltung und Service
128446 | 11393911 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Pferdezucht
128448 | 11393912 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Klassische Reitausbildung
128450 | 11393913 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Pferderennen
128452 | 11393914 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Spezialreitweisen
354    | 11493900 | A Sonst. Meister        | Fischwirtschaftsmeister/in - Fischhaltung und Fischzucht
385    | 11493901 | A Sonst. Meister        | Fischwirtschaftsmeister/in - Seen- und Flussfischerei
390    | 11493902 | A Sonst. Meister        | Fischwirtschaftsmeister/in - Kl. Hochsee- u. Küstenfischerei
547    | 11593900 | A Sonst. Meister        | Tierpflegemeister/in
13752  | 11603901 | A Techniker             | Techniker/in - Weinbau und Kellerwirtschaft
295    | 11693900 | A Sonst. Meister        | Winzermeister/in
